# b all all_epsilon data data_epsilon video video_epsilon voice voice_epsilon
3 1.95797604666667e-05 1.68080554037648e-08 5.15586766666667e-05 1.44435342600071e-07 8.81876853333333e-06 1.3544443894675e-08 8.0864715e-05 2.24150466687017e-08 
4 1.94054234e-05 1.86547483918703e-08 5.12273513333333e-05 9.59501505762249e-08 8.81132373333333e-06 1.57022649736907e-08 8.06585856e-05 2.28406963804542e-08 
5 1.92834820666667e-05 1.80237076747262e-08 5.11082653333333e-05 1.19763857993971e-07 8.82145426666667e-06 1.77611220175977e-08 8.05224039333333e-05 1.90956453047283e-08 
6 1.92018735333333e-05 1.54255050437903e-08 5.09243213333333e-05 1.11967756714154e-07 8.81385673333333e-06 1.35110648486343e-08 8.04386679333333e-05 1.54745374226131e-08 
7 1.91407392e-05 1.07657097488273e-08 5.09110086666667e-05 1.13036310120244e-07 8.81636346666667e-06 1.64692929185197e-08 8.03765084666667e-05 1.00241699035856e-08 
8 1.91002434666667e-05 1.14511057176156e-08 5.08125426666667e-05 7.48768852076532e-08 8.824663e-06 1.49345731167652e-08 8.03362273333333e-05 1.05840758132218e-08 
9 1.90578263333333e-05 1.52155551551696e-08 5.0731086e-05 9.1986804816778e-08 8.81902986666667e-06 1.74233204044466e-08 8.02962598666667e-05 1.44346831498293e-08 
10 1.90326122666667e-05 1.02359314839442e-08 5.07064090666667e-05 8.26649657065441e-08 8.8339808e-06 1.93447572767404e-08 8.02712626666667e-05 9.97327442819047e-09 
11 1.90053408e-05 1.17457376718527e-08 5.06893303333333e-05 8.7558400271477e-08 8.82590933333333e-06 2.25829863282076e-08 8.0246413e-05 1.04806529443539e-08 
12 1.89824921333333e-05 1.50595357091777e-08 5.06737122e-05 1.11774925132142e-07 8.8297616e-06 2.87186566598091e-08 8.02252654666667e-05 1.47870039736295e-08 
13 1.89678380666667e-05 1.3946871974891e-08 5.06596999333333e-05 8.3201182932961e-08 8.82266806666667e-06 2.24530497328091e-08 8.02123714666667e-05 1.34493928173729e-08 
14 1.8948236e-05 1.01791825624659e-08 5.06237515333333e-05 6.35810896078072e-08 8.82775626666666e-06 3.56182221303083e-08 8.01944420666667e-05 1.02165799788369e-08 
15 1.89405332666667e-05 1.01233699084839e-08 5.06590228e-05 8.55800743510768e-08 8.83406193333333e-06 4.5953527495547e-08 8.01869747333333e-05 1.00584001831318e-08 
16 1.89252001333333e-05 1.46819753628735e-08 5.05851227333333e-05 1.01462197327596e-07 8.82575086666666e-06 3.13372860023966e-08 8.017398e-05 1.37721768410089e-08 
17 1.89131538e-05 1.12136569787019e-08 5.06137604666667e-05 6.02987519615134e-08 8.82495006666667e-06 3.96084389904979e-08 8.01630782666667e-05 9.71128969416362e-09 
18 1.89081050666667e-05 1.03614156997972e-08 5.05702164666667e-05 7.7696622108275e-08 8.8218498e-06 3.11830803224442e-08 8.01589599333334e-05 8.81551753920219e-09 
19 1.89010256666667e-05 1.2333444107791e-08 5.06104672666667e-05 7.11246309999857e-08 8.81943213333333e-06 3.43566762425588e-08 8.01527854e-05 1.18500355351363e-08 
20 1.88916484666667e-05 8.58134552946048e-09 5.05508592666667e-05 8.96273775685983e-08 8.80971153333333e-06 2.84778040511551e-08 8.01450448e-05 7.9769142891219e-09 
